date,trap,latitude,longitude,nummosquitos,wnvpresent,year,month,day,tot_mos_species,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS
2007-05-29,T002,41.95469,-87.800991,1,0,2007,05,29,1,0,1,0
2007-05-29,T002,41.95469,-87.800991,1,0,2007,05,29,1,0,0,1
2007-05-29,T007,41.994991,-87.769279,1,0,2007,05,29,1,0,0,1
2007-05-29,T015,41.974089,-87.824812,1,0,2007,05,29,1,0,1,0
2007-05-29,T015,41.974089,-87.824812,4,0,2007,05,29,4,0,0,1
2007-05-29,T045,41.9216,-87.666455,2,0,2007,05,29,2,0,0,1
2007-05-29,T046,41.891118,-87.65449100000001,1,0,2007,05,29,1,0,0,1
2007-05-29,T048,41.867108,-87.654224,1,0,2007,05,29,1,0,1,0
2007-05-29,T048,41.867108,-87.654224,2,0,2007,05,29,2,0,0,1
2007-05-29,T049,41.896282,-87.655232,1,0,2007,05,29,1,0,0,1
2007-05-29,T050,41.919343,-87.694259,1,0,2007,05,29,1,0,1,0
2007-05-29,T054,41.921965,-87.632085,2,0,2007,05,29,2,0,1,0
2007-05-29,T054,41.921965,-87.632085,3,0,2007,05,29,3,0,0,1
2007-05-29,T086,41.688324,-87.676709,1,0,2007,05,29,1,0,1,0
2007-05-29,T086,41.688324,-87.676709,1,0,2007,05,29,1,0,0,1
2007-05-29,T091,41.862292,-87.64886,1,0,2007,05,29,1,0,0,1
2007-05-29,T094,41.720848,-87.666014,3,0,2007,05,29,3,0,0,1
2007-05-29,T096,41.731922,-87.677512,5,0,2007,05,29,5,0,0,1
2007-05-29,T096,41.731922,-87.677512,1,0,2007,05,29,1,1,0,0
2007-05-29,T129,41.891126,-87.61156,1,0,2007,05,29,1,0,1,0
2007-05-29,T129,41.891126,-87.61156,2,0,2007,05,29,2,0,0,1
2007-05-29,T143,41.999128999999996,-87.795585,1,0,2007,05,29,1,0,1,0
2007-05-29,T148,42.01743,-87.68776899999999,1,0,2007,05,29,1,0,1,0
2007-05-29,T153,41.907645,-87.760886,1,0,2007,05,29,1,0,0,1
2007-05-29,T159,41.732984,-87.649642,1,0,2007,05,29,1,0,0,1
2007-06-05,T002,41.95469,-87.800991,3,0,2007,06,05,3,0,1,0
2007-06-05,T002,41.95469,-87.800991,5,0,2007,06,05,5,0,0,1
2007-06-05,T002,41.95469,-87.800991,1,0,2007,06,05,1,1,0,0
2007-06-05,T015,41.974089,-87.824812,1,0,2007,06,05,1,0,1,0
2007-06-05,T015,41.974089,-87.824812,2,0,2007,06,05,2,0,0,1
2007-06-05,T045,41.9216,-87.666455,1,0,2007,06,05,1,0,1,0
2007-06-05,T045,41.9216,-87.666455,2,0,2007,06,05,2,0,0,1
2007-06-05,T045,41.9216,-87.666455,1,0,2007,06,05,1,1,0,0
2007-06-05,T046,41.891118,-87.65449100000001,1,0,2007,06,05,1,0,0,1
2007-06-05,T048,41.867108,-87.654224,1,0,2007,06,05,1,0,1,0
2007-06-05,T048,41.867108,-87.654224,1,0,2007,06,05,1,0,0,1
2007-06-05,T048,41.867108,-87.654224,2,0,2007,06,05,2,1,0,0
2007-06-05,T049,41.896282,-87.655232,2,0,2007,06,05,2,0,0,1
2007-06-05,T050,41.919343,-87.694259,1,0,2007,06,05,1,0,1,0
2007-06-05,T050,41.919343,-87.694259,1,0,2007,06,05,1,0,0,1
2007-06-05,T054,41.921965,-87.632085,3,0,2007,06,05,3,0,0,1
2007-06-05,T086,41.688324,-87.676709,4,0,2007,06,05,4,0,0,1
2007-06-05,T094,41.720848,-87.666014,2,0,2007,06,05,2,0,1,0
2007-06-05,T096,41.731922,-87.677512,1,0,2007,06,05,1,0,1,0
2007-06-05,T096,41.731922,-87.677512,1,0,2007,06,05,1,0,0,1
2007-06-05,T096,41.731922,-87.677512,1,0,2007,06,05,1,1,0,0
2007-06-05,T143,41.999128999999996,-87.795585,2,0,2007,06,05,2,0,1,0
2007-06-05,T143,41.999128999999996,-87.795585,9,0,2007,06,05,9,0,0,1
2007-06-05,T153,41.907645,-87.760886,3,0,2007,06,05,3,0,0,1
2007-06-05,T159,41.732984,-87.649642,1,0,2007,06,05,1,0,0,1
2007-06-05,T009,41.981964000000005,-87.812827,2,0,2007,06,05,2,0,0,1
2007-06-05,T011,41.944869,-87.832763,1,0,2007,06,05,1,0,0,1
2007-06-05,T016,42.011601,-87.81150600000001,1,0,2007,06,05,1,0,0,1
2007-06-05,T019,41.94983,-87.69845699999999,1,0,2007,06,05,1,0,0,1
2007-06-05,T025,41.979243,-87.750938,1,0,2007,06,05,1,0,0,1
2007-06-05,T028,41.986921,-87.689778,2,0,2007,06,05,2,0,0,1
2007-06-05,T031,41.801497999999995,-87.763416,1,0,2007,06,05,1,0,1,0
2007-06-05,T033,41.906638,-87.701431,3,0,2007,06,05,3,0,0,1
2007-06-05,T089,41.723195000000004,-87.64997,1,0,2007,06,05,1,0,0,1
2007-06-05,T090,41.868077,-87.666901,1,0,2007,06,05,1,0,1,0
2007-06-05,T090,41.868077,-87.666901,7,0,2007,06,05,7,0,0,1
2007-06-05,T092,41.869215999999994,-87.627561,1,0,2007,06,05,1,0,1,0
2007-06-05,T135,41.662014,-87.72460799999999,2,0,2007,06,05,2,0,1,0
2007-06-05,T135,41.662014,-87.72460799999999,4,0,2007,06,05,4,0,0,1
2007-06-05,T135,41.662014,-87.72460799999999,1,0,2007,06,05,1,1,0,0
2007-06-05,T141,41.961743,-87.76007,1,0,2007,06,05,1,0,1,0
2007-06-05,T141,41.961743,-87.76007,2,0,2007,06,05,2,0,0,1
2007-06-05,T142,41.953067,-87.776792,1,0,2007,06,05,1,0,1,0
2007-06-05,T142,41.953067,-87.776792,3,0,2007,06,05,3,0,0,1
2007-06-05,T145,41.878114000000004,-87.629798,3,0,2007,06,05,3,0,0,1
2007-06-05,T146,41.958271,-87.702575,1,0,2007,06,05,1,0,1,0
2007-06-05,T146,41.958271,-87.702575,2,0,2007,06,05,2,0,0,1
2007-06-05,T147,41.932094,-87.700117,1,0,2007,06,05,1,0,0,1
2007-06-05,T149,41.994469,-87.667736,1,0,2007,06,05,1,0,1,0
2007-06-05,T150,42.006858,-87.675919,2,0,2007,06,05,2,0,0,1
2007-06-05,T151,41.916265,-87.800515,1,0,2007,06,05,1,0,1,0
2007-06-05,T151,41.916265,-87.800515,10,0,2007,06,05,10,0,0,1
2007-06-05,T152,41.846075,-87.716277,1,0,2007,06,05,1,0,0,1
2007-06-05,T154,41.918704999999996,-87.752329,1,0,2007,06,05,1,0,0,1
2007-06-05,T158,41.682587,-87.707973,3,0,2007,06,05,3,0,1,0
2007-06-05,T158,41.682587,-87.707973,8,0,2007,06,05,8,0,0,1
2007-06-05,T162,41.725516999999996,-87.61425799999999,1,0,2007,06,05,1,0,1,0
2007-06-05,T218,41.948167,-87.730698,2,0,2007,06,05,2,0,1,0
2007-06-05,T218,41.948167,-87.730698,1,0,2007,06,05,1,0,0,1
2007-06-05,T220,41.963976,-87.69181,1,0,2007,06,05,1,0,0,1
2007-06-26,T002,41.95469,-87.800991,1,0,2007,06,26,1,0,1,0
2007-06-26,T002,41.95469,-87.800991,4,0,2007,06,26,4,0,0,1
2007-06-26,T002,41.95469,-87.800991,1,0,2007,06,26,1,0,0,0
2007-06-26,T007,41.994991,-87.769279,1,0,2007,06,26,1,0,1,0
2007-06-26,T007,41.994991,-87.769279,4,0,2007,06,26,4,0,0,1
2007-06-26,T015,41.974089,-87.824812,1,0,2007,06,26,1,0,0,1
2007-06-26,T045,41.9216,-87.666455,1,0,2007,06,26,1,0,1,0
2007-06-26,T045,41.9216,-87.666455,1,0,2007,06,26,1,0,0,1
2007-06-26,T046,41.891118,-87.65449100000001,1,0,2007,06,26,1,0,1,0
2007-06-26,T046,41.891118,-87.65449100000001,6,0,2007,06,26,6,0,0,1
2007-06-26,T048,41.867108,-87.654224,2,0,2007,06,26,2,0,1,0
2007-06-26,T049,41.896282,-87.655232,1,0,2007,06,26,1,0,0,1
2007-06-26,T050,41.919343,-87.694259,1,0,2007,06,26,1,0,0,1
2007-06-26,T086,41.688324,-87.676709,1,0,2007,06,26,2,0,1,0
2007-06-26,T086,41.688324,-87.676709,2,0,2007,06,26,2,0,0,1
2007-06-26,T096,41.731922,-87.677512,5,0,2007,06,26,5,0,0,1
2007-06-26,T129,41.891126,-87.61156,1,0,2007,06,26,1,0,1,0
2007-06-26,T129,41.891126,-87.61156,1,0,2007,06,26,1,0,0,1
2007-06-26,T143,41.999128999999996,-87.795585,1,0,2007,06,26,1,0,1,0
2007-06-26,T143,41.999128999999996,-87.795585,1,0,2007,06,26,1,0,0,1
2007-06-26,T148,42.01743,-87.68776899999999,2,0,2007,06,26,2,0,1,0
