index,station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,rel_hum,latitude,longitude
0,1,2007-05-01,67.0,0.0,29.82,1.7,27,57.03944381071543,41.995,-87.933
1,2,2007-05-01,68.0,0.0,29.82,2.7,25,55.13497666740522,41.786,-87.752
2,1,2007-05-02,51.0,0.0,30.09,13.0,4,71.78171893098133,41.995,-87.933
3,2,2007-05-02,52.0,0.0,30.08,13.3,2,69.23537754969757,41.786,-87.752
4,1,2007-05-03,56.0,0.0,30.12,11.7,7,55.653432461823556,41.995,-87.933
5,2,2007-05-03,58.0,0.0,30.12,12.9,6,51.85428407769079,41.786,-87.752
6,1,2007-05-04,58.0,0.001,30.05,10.4,8,53.847799365906965,41.995,-87.933
8,1,2007-05-05,60.0,0.001,30.1,11.7,7,44.80737857011813,41.995,-87.933
9,2,2007-05-05,60.0,0.001,30.09,11.2,7,46.54410305711829,41.786,-87.752
10,1,2007-05-06,59.0,0.0,30.29,14.4,11,34.04130950423233,41.995,-87.933
11,2,2007-05-06,60.0,0.0,30.28,13.8,10,32.870034221223285,41.786,-87.752
12,1,2007-05-07,65.0,0.001,30.12,8.6,18,42.22172413755873,41.995,-87.933
13,2,2007-05-07,67.0,0.0,30.12,8.5,17,36.56274493023741,41.786,-87.752
14,1,2007-05-08,68.0,0.0,30.03,2.7,11,70.78725769569833,41.995,-87.933
15,2,2007-05-08,70.0,0.001,30.02,2.5,8,63.87075326010951,41.786,-87.752
16,1,2007-05-09,69.0,0.13,29.94,3.9,9,70.8806423234427,41.995,-87.933
17,2,2007-05-09,70.0,0.02,29.93,3.9,7,70.9736155751608,41.786,-87.752
18,1,2007-05-10,70.0,0.0,29.92,0.7,17,53.42984003129492,41.995,-87.933
19,2,2007-05-10,71.0,0.0,29.91,2.0,9,51.66568845469724,41.786,-87.752
20,1,2007-05-11,61.0,0.0,30.04,11.3,3,50.33468054267731,41.995,-87.933
21,2,2007-05-11,61.0,0.0,30.03,11.7,36,54.23865742015972,41.786,-87.752
22,1,2007-05-12,55.0,0.0,30.2,12.4,3,49.51545595172902,41.995,-87.933
23,2,2007-05-12,56.0,0.0,30.19,12.7,1,49.65307719600487,41.786,-87.752
24,1,2007-05-13,56.0,0.0,30.24,6.6,14,42.554599294324966,41.995,-87.933
25,2,2007-05-13,57.0,0.0,30.24,6.4,11,39.504164401064806,41.786,-87.752
26,1,2007-05-14,73.0,0.0,29.97,16.9,21,40.28608314093547,41.995,-87.933
27,2,2007-05-14,72.0,0.0,29.98,14.1,21,38.687394481254664,41.786,-87.752
28,1,2007-05-15,69.0,0.38,29.84,8.1,27,63.7610531802316,41.995,-87.933
29,2,2007-05-15,69.0,0.6,29.83,8.1,25,63.7610531802316,41.786,-87.752
30,1,2007-05-16,55.0,0.14,30.03,7.8,36,64.54899755330266,41.995,-87.933
31,2,2007-05-16,55.0,0.07,30.03,8.0,36,62.17795377476385,41.786,-87.752
32,1,2007-05-17,53.0,0.0,30.27,10.5,3,45.555041585502074,41.995,-87.933
33,2,2007-05-17,53.0,0.0,30.27,11.7,1,45.555041585502074,41.786,-87.752
34,1,2007-05-18,57.0,0.0,30.25,5.4,25,36.525405661944774,41.995,-87.933
35,2,2007-05-18,57.0,0.0,30.26,3.4,22,37.98863240985216,41.786,-87.752
36,1,2007-05-19,68.0,0.0,30.08,11.1,24,35.341966084287506,41.995,-87.933
37,2,2007-05-19,68.0,0.0,30.08,11.1,23,32.748690915413,41.786,-87.752
38,1,2007-05-20,56.0,0.07,30.11,10.4,4,55.653432461823556,41.995,-87.933
39,2,2007-05-20,57.0,0.11,30.11,8.6,3,55.78171969256106,41.786,-87.752
40,1,2007-05-21,62.0,0.0,30.06,6.3,11,65.31553707424996,41.995,-87.933
41,2,2007-05-21,63.0,0.0,30.05,6.3,10,63.09350067426975,41.786,-87.752
42,1,2007-05-22,71.0,0.0,30.06,10.0,18,41.51039740620561,41.995,-87.933
43,2,2007-05-22,74.0,0.0,30.05,10.1,16,34.878260799437165,41.786,-87.752
44,1,2007-05-23,75.0,0.0,30.1,11.4,19,40.5675392107651,41.995,-87.933
45,2,2007-05-23,78.0,0.0,30.1,10.9,18,35.443405668471286,41.786,-87.752
46,1,2007-05-24,76.0,0.02,30.11,14.9,21,47.02176791525545,41.995,-87.933
47,2,2007-05-24,77.0,0.001,30.1,13.8,20,43.901369141483244,41.786,-87.752
48,1,2007-05-25,63.0,0.001,30.24,4.9,5,50.604301496209246,41.995,-87.933
49,2,2007-05-25,62.0,0.09,30.23,4.5,5,56.416261518385475,41.786,-87.752
50,1,2007-05-26,57.0,1.01,30.11,2.8,17,93.14798723918665,41.995,-87.933
51,2,2007-05-26,60.0,0.28,30.1,2.5,15,83.82596914947206,41.786,-87.752
52,1,2007-05-27,66.0,0.04,30.06,8.9,26,51.00551676276113,41.995,-87.933
53,2,2007-05-27,67.0,0.08,30.05,8.2,24,53.04185237316567,41.786,-87.752
54,1,2007-05-28,65.0,0.001,30.15,4.8,10,52.78102050715404,41.995,-87.933
55,2,2007-05-28,65.0,0.0,30.14,4.7,8,56.791522538966255,41.786,-87.752
56,1,2007-05-29,74.0,0.0,30.11,5.8,18,57.89315867276696,41.995,-87.933
57,2,2007-05-29,77.0,0.0,30.09,5.8,16,54.320082639144736,41.786,-87.752
58,1,2007-05-30,77.0,0.0,30.04,10.3,19,52.44397138470664,41.995,-87.933
59,2,2007-05-30,80.0,0.0,30.03,9.7,17,45.91105458609053,41.786,-87.752
60,1,2007-05-31,72.0,0.01,30.0,9.3,19,68.72838964041354,41.995,-87.933
61,2,2007-05-31,74.0,0.53,29.99,8.9,18,64.30516988879859,41.786,-87.752
62,1,2007-06-01,74.0,0.19,29.91,4.2,17,68.92350999459974,41.995,-87.933
63,2,2007-06-01,77.0,0.21,29.9,4.7,16,62.43609208337523,41.786,-87.752
64,1,2007-06-02,73.0,0.04,29.77,6.5,22,71.25008830761521,41.995,-87.933
65,2,2007-06-02,75.0,0.001,29.76,7.5,21,64.4126875468119,41.786,-87.752
66,1,2007-06-03,70.0,0.01,29.56,5.2,25,70.9736155751608,41.995,-87.933
67,2,2007-06-03,71.0,0.32,29.54,4.9,24,68.63020193700615,41.786,-87.752
68,1,2007-06-04,65.0,0.39,29.52,7.8,31,78.40937723499778,41.995,-87.933
69,2,2007-06-04,64.0,0.31,29.51,7.9,30,78.33601078124077,41.786,-87.752
70,1,2007-06-05,56.0,0.42,29.79,5.2,5,74.94648694408086,41.995,-87.933
71,2,2007-06-05,57.0,0.27,29.78,6.2,3,69.73225634806155,41.786,-87.752
72,1,2007-06-06,58.0,0.01,29.81,10.8,17,69.83030969903224,41.995,-87.933
73,2,2007-06-06,61.0,0.001,29.82,9.6,15,60.60258285383042,41.786,-87.752
74,1,2007-06-07,81.0,0.0,29.55,22.7,20,52.95448056327182,41.995,-87.933
75,2,2007-06-07,82.0,0.0,29.55,20.3,19,49.52428335947504,41.786,-87.752
76,1,2007-06-08,69.0,0.0,29.85,10.9,28,57.285576391676365,41.995,-87.933
